Economo_atlas,thickness_layer1,thickness_layer2,thickness_layer3,thickness_layer4,thickness_layer5,thickness_layer6,total_thickness,percentage_layer1,percentage_layer2,percentage_layer3,percentage_layer4,percentage_layer5,percentage_layer6
12.0,0.3090819312063809,0.2671323409770688,0.7122122273180459,0.20233047258225326,0.49429241176470584,0.5389443958125624,2.497114047856431,0.12574684855880927,0.10690575681189875,0.28437383019758516,0.08022314892176938,0.19743316094219338,0.21524699035683917
13.0,0.31913672521957337,0.2731700752823087,0.9357476587202007,0.17341923776662485,0.6998279104140527,0.7194871727728984,3.1013923462986197,0.10691796957381866,0.0920377206510898,0.30006128237129426,0.05766082325013971,0.21649335161614824,0.22677861795300314
14.0,0.28223702753403934,0.24552062708018152,0.6875009546142209,0.17540145234493193,0.4942544236006052,0.5394896959152798,2.43880965204236,0.11634497358501963,0.10086652887099372,0.28195960100539746,0.07216226563404858,0.2016519082536343,0.22027580115055082
15.0,0.27286794674556214,0.27622423076923075,0.9120126923076923,0.19302586686390533,0.6624638461538461,0.6183577869822485,2.8739152071005916,0.09630603398395941,0.09642196666965837,0.316639222108392,0.06639240187513978,0.22889365117819188,0.2139948642646507
16.0,0.28685290196078433,0.27170714215686276,0.9261022794117647,0.18826211274509802,0.6819702794117647,0.6101821519607843,2.899705245098039,0.09886786978287224,0.09455116804031752,0.31881131548692393,0.06422045783605528,0.23501517945977707,0.2104596474602565
17.0,0.3346096299065421,0.2698720196261682,0.7959227140186915,0.19628971504672899,0.5374973485981308,0.5556787308411215,2.6946121401869156,0.12709737369694213,0.10223961892156996,0.2941202439414858,0.07371113876564618,0.19591245596029383,0.20306949822312764
18.0,0.3360360372078721,0.2588785319803198,0.791673049200492,0.166438833702337,0.6379381645141452,0.6648743917589176,2.886364618696187,0.1202193621175378,0.09189053326133734,0.2751342776959636,0.05894481289252129,0.21546070853231367,0.22534922444811192
19.0,0.3529127834066625,0.2602544830295412,0.7777607825267127,0.17205587397862981,0.6416035801382778,0.6416131917033313,2.8890482401005655,0.12589979127239298,0.09218961486766795,0.2685534187549004,0.06013552264468863,0.217180255970426,0.21793931821360724
20.0,0.30490666437375746,0.2365863051689861,0.6877268437375745,0.14802697803180914,0.5575043328429423,0.6061189811133201,2.546149411530815,0.12225360777465985,0.09483510333558912,0.270321786463619,0.058658410633221414,0.2148187933682973,0.23572579808361238
21.0,0.29033131601123596,0.23427666011235954,0.7031262846441947,0.13450188080524345,0.6185625629213484,0.6486899531835206,2.4789757490636704,0.1182634080687785,0.09558144167192827,0.28684535310814574,0.05434943651798345,0.2500861077122487,0.263304784114431
22.0,0.2627372001017812,0.22377073918575063,0.7121733592875318,0.18563650814249363,0.5424006045801527,0.5665288488549618,2.5017842951653946,0.10704588432245689,0.09111419189085636,0.28573711180040795,0.07451363480756677,0.21431939046548854,0.22330933697604924
23.0,0.27128436323529415,0.21611173897058825,0.7539347965686274,0.15265228529411765,0.589981462009804,0.616266756127451,2.5952040808823527,0.10727006493826585,0.08464366113810898,0.2899464183644084,0.05932734238437583,0.2250035269938572,0.23436949790758
24.0,0.25082848514851486,0.19884275247524752,0.7719282673267326,0.1081614495049505,0.7300886930693069,0.6818299603960395,2.7280640594059404,0.09213335401943974,0.07297740495961984,0.28229046901307164,0.03981932263680192,0.26806240243968715,0.249533631757261
25.0,0.29351973869346737,0.2006654095477387,0.6704466381909547,0.14946714572864322,0.46542307537688443,0.4763942462311557,2.2749945728643217,0.13025506151725186,0.08792884039861332,0.2960688504205839,0.06511148996406067,0.20471254874942998,0.20776691656187146
26.0,0.3113999458333333,0.19639164375,0.68023271875,0.12595210937499998,0.5282739791666666,0.52345790625,2.3020318124999997,0.13946827792488709,0.08603174324278255,0.2980179820698685,0.054028708974082004,0.22928468953009729,0.2290879337815686
27.0,0.2658675260070448,0.23267348778901736,0.6641949074241329,0.2265995679470737,0.4543655270953757,0.45865329669436417,2.3192989468930634,0.11642934130880543,0.10150816766255322,0.2871552086128231,0.09865039055426572,0.19300662323868778,0.1953033452668022
28.0,0.23154985150194743,0.19202961044303798,0.5689391239045763,0.26118469033836417,0.3825389875851996,0.4257034547224927,2.068898731742941,0.11370960040754703,0.09387517432076627,0.2756391472240019,0.12664921225846495,0.18173433712761966,0.20404449364096813
29.0,0.2742741361882445,0.17709497320835774,0.5481338037492678,0.48086339156414765,0.353663748096075,0.43041394083186874,2.2607359753954306,0.12332280308124396,0.0789157803118322,0.24187440382316466,0.21458820392113703,0.1535116470520149,0.18750744209848033
30.0,0.27421507638888887,0.21733902645663958,0.6566021300813007,0.19924846524390244,0.4293955748644986,0.48008626151761513,2.245045348915989,0.12476362306980524,0.09810382486965741,0.29339727541014693,0.09010349293965322,0.18722092094158876,0.2096259340816581
31.0,0.29086696502498216,0.23432899357601714,0.6659700478229836,0.1991881814418273,0.46340419486081375,0.4996053440399715,2.365829550321199,0.12503626750011418,0.10020084640107506,0.28280893800296236,0.08485584450259877,0.19285171651298372,0.20856971502578267
32.0,0.27571860102513224,0.2429128308531746,0.7156374014550264,0.22163797549603173,0.609445531415344,0.6395020340608466,2.7117841798941797,0.10335091848561019,0.09036554566131845,0.26456772572795934,0.08164336069736931,0.22275052479283178,0.23389473598358584
33.0,0.29331995972378805,0.25396826007609924,0.7669968759864713,0.22568356540304396,0.5561544971815107,0.5692614471533258,2.6787954777339347,0.11177274777365319,0.09626398404921155,0.2876295439464858,0.08398749966711926,0.20483002905528394,0.20950376508380777
34.0,0.27336142767831767,0.25170117314578005,0.7575272313157146,0.2346075410059676,0.5480488243819267,0.5546565247229327,2.616869741403808,0.10619099730071,0.09750375541255428,0.29000212848012125,0.08976553588747654,0.20708816192650487,0.20924121583990699
35.0,0.33259859833874356,0.2636701197250334,0.8077213282413596,0.23125198567882377,0.6331969696391063,0.6377373456177201,2.912459977086118,0.11640027476021418,0.09172156896420265,0.27787965455061514,0.07930998435805152,0.21421881680216118,0.21627853077715017
36.0,0.2899383370352564,0.2579273079326923,0.8016490275641025,0.2437401620673077,0.5887640570512821,0.5973674365384615,2.788580341346154,0.10510580522878768,0.09294386999812017,0.28842802724720185,0.08772911978886766,0.20926101383067772,0.2121946864557255
37.0,0.28850766846598735,0.2611942620490223,0.7556290235472322,0.2605679982924814,0.5561095678876342,0.5516782890388323,2.683484310107408,0.10917311957336852,0.09824668266858982,0.28280786678722164,0.09713864367076873,0.2047850005930047,0.20349720809144198
38.0,0.33040489016653446,0.27356695083267246,0.8632953802537667,0.23293582886597936,0.7279415452022204,0.6694504308088819,3.0892647700237905,0.11031485506713128,0.09022298686508318,0.27959999388636353,0.0763853847994599,0.23103861464822545,0.2133352626040677
39.0,0.3567788807495741,0.264023996592845,0.7702944514480409,0.206500463713799,0.6311728909710392,0.6187933458262351,2.8753232538330495,0.12692100788609878,0.0936976490154119,0.26984740222342973,0.07193956011347082,0.21587048302359665,0.21151369598653505
40.0,0.3561151364392679,0.25470018302828623,0.7683162262895175,0.1984604667221298,0.64376031281198,0.6678427254575707,2.912307038269551,0.12458738463015345,0.08887948925225403,0.26434904179840624,0.06780489450907148,0.21871976328296525,0.22654230161841088
41.0,0.3107889527777778,0.22828538055555556,0.6964490666666667,0.16855572083333334,0.5632852166666666,0.5976544,2.597961805555556,0.12346918996498213,0.09109288996643991,0.2681611177750163,0.06450433826356651,0.21302814852828855,0.2252124758092872
42.0,0.3113967689210526,0.27058746473009443,0.8118772735425102,0.26152341284008096,0.6528138808022942,0.6470048517442645,2.9544343916329288,0.10759697636983125,0.09301223614384471,0.27548253561284014,0.08863220578130201,0.21738188558191243,0.21722772193748752
43.0,0.31314808575268815,0.2577442532642089,0.8030659746543779,0.25383045007680494,0.6295089216589862,0.6182698732718894,2.884618248847926,0.11012617102857186,0.0900136905121588,0.2787613368449571,0.08759722832169356,0.21652854002169372,0.2127071654598928
44.0,0.30113957669902913,0.2781524891262136,0.8486680427184465,0.20371819099029126,0.6665431343689321,0.6344402223300971,2.937963718446602,0.10359354477686047,0.09583363164033548,0.2891524047838127,0.0690196506099078,0.2248535147137829,0.21601169576653403
