DKT_atlas,thickness_layer1,thickness_layer2,thickness_layer3,thickness_layer4,thickness_layer5,thickness_layer6,total_thickness,percentage_layer1,percentage_layer2,percentage_layer3,percentage_layer4,percentage_layer5,percentage_layer6
21.0,0.2710900963590844,0.1650440342632332,0.5141018687410587,0.5745991477110157,0.30222522782546496,0.39268828147353363,2.217836580829757,0.1238104953953294,0.07495927204019572,0.2323388276555023,0.25790278191104343,0.13530455369864514,0.17553253750471098
22.0,0.287350012437216,0.2382882075221239,0.6988809502511361,0.21586164917483855,0.5438194353025592,0.5801952353503946,2.571627681176752,0.11479385919455173,0.09425563336730548,0.27391885996561677,0.08482402321342823,0.20665798809939856,0.22172108029648657
23.0,0.277233749250457,0.2175828453747715,0.6916261416819013,0.15814172714076782,0.5285226397806215,0.5795566475319927,2.374472122486289,0.12015498048278488,0.09360484235850597,0.2927130949543675,0.06837939000374392,0.2209665796350146,0.2426730956434624
24.0,0.30948351004896246,0.24996375370715782,0.8501629404290044,0.17088492324551177,0.7047053697248775,0.7354811915947773,2.9835313254837956,0.10668854921466017,0.08587411194764541,0.2856254238155548,0.058434915415139066,0.231786016814684,0.2425823404594848
25.0,0.2762242134266624,0.24205864134584792,0.7601147922367164,0.22085733762328988,0.5528159988864143,0.5580953870505886,2.604514495704741,0.10812020106293531,0.09441170549180233,0.29239737614320815,0.08475436553347458,0.2096745972053218,0.21123905217942784
26.0,0.3082902050861362,0.25951757895816246,0.6889474040196882,0.16739146171041838,0.5321788577932731,0.5867988240360952,2.501140684987695,0.12534860258848454,0.10445210183149695,0.2754593966675235,0.06641672170296643,0.21033033410914,0.2343473043086679
27.0,0.2795842067061144,0.21741962132807363,0.7233611178172256,0.16926614230769232,0.566701332938856,0.6088964572649572,2.5697747639710715,0.11020363976527119,0.08549761730807495,0.2807796708379316,0.06635661487975997,0.21891905566648404,0.2354046173794928
28.0,0.30433979929582056,0.22538997401708286,0.7396103806937472,0.1655896175216796,0.6124134920910217,0.6268962335854469,2.671086390754385,0.11587670099999442,0.08597162605062142,0.2758803454774721,0.06408049241879098,0.22548873106413342,0.2328882914724999
29.0,0.2852337375690608,0.25716405591485214,0.7587391077348067,0.2273943975625609,0.5385397234319143,0.5538361642833929,2.630157861553461,0.11009343402752883,0.09887200118467085,0.2888920270129995,0.08627836637251263,0.20282301407601225,0.2083785397366556
30.0,0.3289329144123403,0.2791032637849661,0.8547537788649706,0.24470438558765975,0.6992544315644066,0.6623176324392771,3.069398142626914,0.10994106604943264,0.0926332285212613,0.2795424080895353,0.07974353073920853,0.22379499252446539,0.21271181750873558
31.0,0.3191431534811166,0.2587371509031199,0.8031704334975369,0.23264233834154352,0.6135970377668309,0.6197279487684729,2.855817384236453,0.11368127266325129,0.0918310156971221,0.2823405135649465,0.08145970051418695,0.21176469191495806,0.2141257150048959
34.0,0.31598510331632657,0.23667985969387753,0.7343489489795918,0.20655785459183673,0.6663872270408163,0.688827200255102,2.861664655612245,0.11162048018043234,0.08383143804055304,0.2566543033273481,0.07234030490092275,0.231194763669755,0.23936031525651782
35.0,0.34079309869230767,0.2624278555128205,0.8096115255384616,0.16845974217948717,0.6516803804102564,0.6678381012051282,2.9278579846153847,0.12065743315995814,0.09228625545898068,0.27584266436060745,0.05871407770585596,0.21634414152450063,0.22304348140741118
