,atlasEcono,Hemisphere,Lobe,Thickness at 10y.o.,Curvature,Layer I thickness,Layer II thickness,Layer III thickness,Layer IV thickness,Layer V thickness,Layer VI thickness,bigbrain_layer_1,r2.0,r2.1,r2.2,struture
56,40.0,0.0,6.0,2.8479931,4.1101174,0.28615457,0.20811242,0.6330086,0.17342702,0.5636378,0.55496645,0.11827957,0.9475258395484611,0.5864616255986272,0.9587818508692345,40.0
57,40.0,1.0,6.0,2.748178,4.7103186,0.2791771,0.20303789,0.61757356,0.16919824,0.5498943,0.54143435,0.11827957,0.9475258395484611,0.5864616255986272,0.9587818508692345,40.0
58,41.0,0.0,6.0,2.7782345,11.572611,0.2501465,0.1965437,0.6164324,0.16080847,0.51816064,0.58069724,0.10769231,0.763842467706322,0.5138899982843315,0.8695289588326447,41.0
59,41.0,1.0,6.0,2.879911,11.404839,0.25999916,0.20428506,0.6407122,0.16714232,0.5385696,0.60356945,0.10769231,0.763842467706322,0.5138899982843315,0.8695289588326447,41.0
60,42.0,0.0,6.0,3.1516623,-0.020105032,0.2950698,0.2569963,0.7709888,0.2474779,0.6186948,0.6091764,0.105442174,0.9396445488837116,0.7997213453756296,0.9441581922132068,42.0
61,42.0,1.0,6.0,3.1753745,-0.10047042,0.29980215,0.261118,0.783354,0.25144696,0.6286174,0.6189464,0.105442174,0.9396445488837116,0.7997213453756296,0.9441581922132068,42.0
62,43.0,0.0,6.0,3.0971174,1.5369394,0.30917457,0.2593077,0.7978699,0.2593077,0.62832254,0.61834913,0.10763889,0.8521372358102989,-0.01,0.7733067034611376,43.0
63,43.0,1.0,6.0,3.059732,1.1279439,0.30362642,0.2546544,0.7835521,0.2546544,0.61704725,0.60725284,0.10763889,0.8521372358102989,-0.01,0.7733067034611376,43.0
64,44.0,0.0,6.0,3.5031505,-4.1525598,0.34283003,0.31997466,0.9827794,0.23998101,0.754226,0.69708765,0.10273973,-0.01,-0.01,-0.01,44.0
65,44.0,1.0,6.0,3.489253,-5.156648,0.34964007,0.32633072,1.0023016,0.24474804,0.76920813,0.71093476,0.10273973,-0.01,-0.01,-0.01,44.0
66,5.0,0.0,1.0,2.98494,0.94993156,0.29541558,0.20679091,0.7483861,0.16740215,0.6105255,0.64006704,0.11070111,0.7864414155700741,0.7416344350411808,0.6979895099194077,5.0
67,5.0,1.0,1.0,3.0888743,-0.79464614,0.30027333,0.21019134,0.7606925,0.17015488,0.6205649,0.6505922,0.11070111,0.7864414155700741,0.7416344350411808,0.6979895099194077,5.0
