,atlas_x,Hemisphere,Lobe,Thickness at 10y.o.,Thickness at 80y.o.,Curvature,Layer I thickness,Layer II thickness,Layer III thickness,Layer IV thickness,Layer V thickness,Layer VI thickness,bigbrain_layer_1,bigbrain_layer_2,bigbrain_layer_3,bigbrain_layer_4,bigbrain_layer_5,bigbrain_layer_6,Global thinning,Global thinning normalized,structure,r2_spatial,r2_temporal,r2_complete,structure_name,atlas_y
58,41.0,0.0,6.0,2.78,2.0,11.572611,0.2501465,0.19654368,0.6164325,0.16080847,0.51816064,0.58069724,0.107692316,0.08461539,0.2653846,0.06923077,0.22307691,0.25,0.78,0.28057554,41.0,0.46373629578671205,0.7638424677063183,0.8836079029440158,Intercalated Supratemporal Area,41.0
59,41.0,1.0,6.0,2.88,1.9800001,11.404839,0.25999916,0.20428506,0.64071214,0.16714232,0.5385696,0.60356945,0.107692316,0.08461539,0.2653846,0.06923077,0.22307691,0.25,0.9,0.31249997,41.0,0.46373629578671205,0.7638424677063183,0.8836079029440158,Intercalated Supratemporal Area,41.0
60,42.0,0.0,6.0,3.15,2.52,-0.02010503,0.2950698,0.2569963,0.7709888,0.24747792,0.6186948,0.6091764,0.10544218,0.091836736,0.2755102,0.088435374,0.22108844,0.21768706,0.6300001,0.20000003,42.0,0.802679311484061,0.9396445488837095,0.9399542542797491,Temporal Area Proper,42.0
61,42.0,1.0,6.0,3.18,2.54,-0.10047042,0.29980212,0.261118,0.7833539,0.25144696,0.6286174,0.6189464,0.10544218,0.091836736,0.2755102,0.088435374,0.22108844,0.21768706,0.6400001,0.20125788,42.0,0.802679311484061,0.9396445488837095,0.9399542542797491,Temporal Area Proper,42.0
62,43.0,0.0,6.0,3.1,2.44,1.5369394,0.3091746,0.2593077,0.7978699,0.2593077,0.62832254,0.6183492,0.10763888,0.090277776,0.2777778,0.090277776,0.21875,0.21527776,0.65999985,0.21290319,43.0,-0.01,0.8521372358102942,0.8072778375894829,Fusiform Area,43.0
63,43.0,1.0,6.0,3.06,2.49,1.1279439,0.30362642,0.25465444,0.7835521,0.25465444,0.61704725,0.60725284,0.10763888,0.090277776,0.2777778,0.090277776,0.21875,0.21527776,0.56999993,0.1862745,43.0,-0.01,0.8521372358102942,0.8072778375894829,Fusiform Area,43.0
64,44.0,0.0,6.0,3.5,3.03,-4.15256,0.34283,0.3199747,0.9827794,0.23998101,0.754226,0.69708765,0.10273973,0.09589041,0.29452056,0.07191781,0.2260274,0.2089041,0.47000003,0.13428572,44.0,-0.01,-0.01,-0.01,Temporopolar Area,44.0
65,44.0,1.0,6.0,3.4900002,3.31,-5.1566477,0.34964007,0.32633072,1.0023015,0.24474804,0.76920813,0.71093476,0.10273973,0.09589041,0.29452056,0.07191781,0.2260274,0.2089041,0.1800003,0.051576015,44.0,-0.01,-0.01,-0.01,Temporopolar Area,44.0
66,5.0,0.0,1.0,2.98,2.32,0.9499315,0.29541558,0.2067909,0.7483861,0.16740215,0.6105255,0.64006704,0.11070111,0.07749078,0.2804428,0.062730625,0.22878227,0.2398524,0.6600001,0.22147654,5.0,0.7572858783803543,0.7864414155700706,0.6950041300389451,Magnocellular Agranular Intermediated Frontal,5.0
67,5.0,1.0,1.0,3.09,2.44,-0.79464614,0.30027333,0.21019134,0.7606925,0.17015488,0.6205649,0.6505922,0.11070111,0.07749078,0.2804428,0.062730625,0.22878227,0.2398524,0.64999986,0.21035595,5.0,0.7572858783803543,0.7864414155700706,0.6950041300389451,Magnocellular Agranular Intermediated Frontal,5.0
68,6.0,0.0,1.0,2.98,2.36,-0.70339864,0.29587606,0.22445771,0.71418357,0.18364722,0.55094165,0.62236,0.11417322,0.08661418,0.27559054,0.070866145,0.21259841,0.24015749,0.6200001,0.20805374,6.0,0.785038621971917,0.8419667462815951,0.9327450387147358,Granular Frontal Area,6.0
69,6.0,1.0,1.0,3.0,2.4,-1.2205068,0.29348642,0.22264488,0.7084155,0.182164,0.546492,0.61733353,0.11417322,0.08661418,0.27559054,0.070866145,0.21259841,0.24015749,0.5999999,0.19999997,6.0,0.785038621971917,0.8419667462815951,0.9327450387147358,Granular Frontal Area,6.0
70,7.0,0.0,1.0,2.79,2.16,0.2755342,0.2698315,0.20237365,0.6649419,0.17346312,0.5203894,0.59748405,0.11111112,0.083333336,0.27380952,0.071428575,0.2142857,0.24603173,0.6299999,0.22580642,7.0,0.5066941508705105,0.8105301471038997,0.8373533868494207,Middle Granular Frontal Area,7.0
71,7.0,1.0,1.0,2.68,2.2,1.3752972,0.25572142,0.19179109,0.6301707,0.16439235,0.49317703,0.5662403,0.11111112,0.083333336,0.27380952,0.071428575,0.2142857,0.24603173,0.48000002,0.17910448,7.0,0.5066941508705105,0.8105301471038997,0.8373533868494207,Middle Granular Frontal Area,7.0
72,8.0,0.0,1.0,3.02,2.33,-1.6863075,0.27490196,0.20854633,0.75835025,0.1706288,0.6066802,0.62563896,0.103942655,0.07885305,0.28673837,0.06451613,0.2293907,0.23655912,0.69000006,0.22847684,8.0,0.5783983457810989,0.8579062854784747,0.8972253324495861,Triangular Granular Frontal Area,8.0
73,8.0,1.0,1.0,2.94,2.26,-0.7664459,0.26227325,0.19896589,0.72351235,0.16279027,0.57880986,0.5968977,0.103942655,0.07885305,0.28673837,0.06451613,0.2293907,0.23655912,0.68000007,0.23129253,8.0,0.5783983457810989,0.8579062854784747,0.8972253324495861,Triangular Granular Frontal Area,8.0
74,9.0,0.0,1.0,3.16,2.46,-3.2706075,0.29262045,0.22509265,0.74280584,0.21383803,0.6077502,0.64151406,0.10743801,0.08264463,0.27272728,0.0785124,0.22314051,0.2355372,0.70000005,0.221519,9.0,0.5680263720977635,0.6656522271892342,0.7498089435209792,Frontalpolar Area,9.0
75,9.0,1.0,1.0,3.03,2.55,-3.0060296,0.2838915,0.21837807,0.7206477,0.20745918,0.58962077,0.6223775,0.10743801,0.08264463,0.27272728,0.0785124,0.22314051,0.2355372,0.48000002,0.15841585,9.0,0.5680263720977635,0.6656522271892342,0.7498089435209792,Frontalpolar Area,9.0
